"boroct","nta","lat","lon"
"3003000","BK31",40.62484720099241,-74.02988291264548
"3100400","BK50",40.638040560954266,-73.8997502702429
"3045400","BK46",40.6173149606026,-73.97032580022879
"4027200","QN76",40.67895358951346,-73.7909871792418
"3061004","BK19",40.580923007384,-73.96121598649943
"4126700","QN38",40.72833316340626,-73.80244495608436
"2023702","BX05",40.86768209051977,-73.89018363618725
"2026400","BX52",40.82333239790897,-73.82358803920123
"4051000","QN07",40.71063933392973,-73.76113705097164
"2009800","BX59",40.8321004101601,-73.84864269174788
"4054500","QN20",40.70653136345975,-73.9017154106143
"4071304","QN17",40.721431572364395,-73.84767250596063
"1021400","MN03",40.81825717545733,-73.94077184302625
"2012500","BX35",40.827512442805286,-73.90235187024392
"3079801","BK60",40.658744279131746,-73.94744160805104
"3003400","BK31",40.62484720099241,-74.02988291264548
"1028700","MN35",40.85710626636667,-73.93283336084565
"4028900","QN28",40.75731186888698,-73.8853210958476
"3051601","BK42",40.637900377838186,-73.96096847099832
"3039900","BK78",40.69645881663439,-73.92511472634303
"3000502","BK09",40.69546908140552,-73.99487070015208
"2023301","BX41",40.84905813133556,-73.90512194941535
"2006100","BX14",40.83051123039993,-73.915788606076
"5014606","SI54",40.55186037868574,-74.15089035712079
"3096800","BK50",40.638040560954266,-73.8997502702429
"4094202","QN12",40.59406108141097,-73.78961809998307
"4009400","QN55",40.67615527362095,-73.81945921642959
"3099800","BK50",40.638040560954266,-73.8997502702429
"2026300","BX30",40.86526567546864,-73.90591108496045
"2038100","BX41",40.84905813133556,-73.90512194941535
"4121500","QN62",40.74308180072677,-73.81964941871084
"3059100","BK76",40.72949970084765,-73.9495169516098
"3110600","BK82",40.66094706832902,-73.87683894935641
"2022102","BX63",40.82899264003715,-73.92440459909884
"3007500","BK33",40.67877155762639,-74.00389947650746
"1017800","MN34",40.801168413197736,-73.9373457713399
"3044500","BK77",40.70056068324129,-73.91776601162026
"3072200","BK58",40.62627278951659,-73.93009695805877
"3073200","BK58",40.62627278951659,-73.93009695805877
"3040100","BK78",40.69645881663439,-73.92511472634303
"3037100","BK79",40.676637616923976,-73.91364751024061
"2013100","BX33",40.81967506627019,-73.89895677785645
"1013800","MN32",40.777316491864305,-73.9487029174147
"4053100","QN30",40.72399513720428,-73.9023298838427
"4044800","QN35",40.711594664199275,-73.80871115610317
"2042300","BX43",40.8771422790622,-73.87902106926485
"3070203","BK99",40.62313972570711,-73.91856492110088
"4008800","QN56",40.675599436327694,-73.84704878929129
"3027000","BK28",40.61221904922545,-73.99525918873987
"4126500","QN38",40.72833316340626,-73.80244495608436
"4155102","QN44",40.74599386466473,-73.7110266562392
"3102800","BK50",40.638040560954266,-73.8997502702429
"4068000","QN03",40.662188081618055,-73.76448982682227
"2021001","BX46",40.8377466194947,-73.857988846991
"3089000","BK96",40.652364804241444,-73.92225097372663
"4024700","QN63",40.749278080775795,-73.90373128114413
"3009800","BK34",40.641889194323525,-74.00464613109365
"3055100","BK73",40.71491649785282,-73.95862548093875
"4070300","QN18",40.72615545552108,-73.86333861107653
"2005400","BX08",40.83416510186246,-73.87228720844384
"4114100","QN51",40.76835158797385,-73.80954590118571
"3064400","BK45",40.61457880484657,-73.91524505344194
"3001800","BK32",40.65237338151874,-74.01124998396713
"3013200","BK30",40.622437890916565,-74.01209403612
"5002001","SI37",40.61872736328883,-74.07370411979818
"3012700","BK38",40.69292722913017,-73.98598668777835
"3031701","BK61",40.67446937016724,-73.93928717423759
"4087100","QN22",40.7610932656248,-73.8288655055002
"3054600","BK43",40.6209240392228,-73.95682458081855
"3030600","BK26",40.58840281809143,-73.98143050403097
"3028300","BK35",40.68816824308709,-73.93188820649836
"4061800","QN66",40.675917134916006,-73.74452396457488
"4073900","QN17",40.721431572364395,-73.84767250596063
"1025300","MN36",40.841707617134105,-73.94139841606824
"3026400","BK28",40.61221904922545,-73.99525918873987
"4026600","QN01",40.69442746751805,-73.79096387835465
"4041500","QN25",40.74234894149034,-73.85837079053796
"3094600","BK96",40.652364804241444,-73.92225097372663
"2046202","BX13",40.87396478712505,-73.82827241281362
"1007800","MN20",40.74419496034809,-73.97748254768617
"4009500","QN72",40.77741722311807,-73.90540613732516
"4063700","QN19",40.70353497050094,-73.87574826036803
"5003900","SI08",40.61797304336033,-74.08783927900664
"4018101","QN31",40.739772511674886,-73.93121212415285
"4120300","QN52",40.75410896946269,-73.80729444048158
"4102900","QN49",40.78819127636214,-73.81564320130808
"1004700","MN24",40.72076612081412,-74.00474749842262
"2039400","BX44",40.88215637091284,-73.85894857876542
